Year,1,2,3,4,5,6,7,8,9,10+
1989,0.118,0.173,0.216,0.288,0.336,0.375,0.456,0.492,0.47,0.611065359477124
1990,0.124,0.183,0.227,0.292,0.371,0.413,0.415,0.514,0.476,0.619747909199522
1991,0.127,0.186,0.21,0.263,0.315,0.436,0.443,0.467,0.507,0.558086753731343
1992,0.146,0.178,0.213,0.258,0.298,0.38,0.409,0.46,0.487,0.555691315563199
1993,0.097,0.167,0.196,0.239,0.264,0.3,0.338,0.441,0.496,0.603116446578631
1994,0.143,0.18,0.202,0.228,0.257,0.3,0.317,0.432,0.409,0.510091415830546
1995,0.151,0.186,0.196,0.247,0.265,0.319,0.344,0.356,0.444,0.59158045112782
1996,0.163,0.177,0.202,0.234,0.274,0.285,0.318,0.37,0.39,0.594279713114754
1997,0.151,0.18,0.206,0.236,0.267,0.296,0.323,0.306,0.384,0.439596889952153
1998,0.128,0.182,0.189,0.252,0.262,0.289,0.336,0.292,0.335,0.503668257756563
1999,0.163,0.179,0.212,0.229,0.287,0.324,0.354,0.372,0.372,0.452679104477612
2000,0.145,0.17,0.2,0.248,0.29,0.299,0.323,0.368,0.402,0.427612994350282
2001,0.143,0.185,0.202,0.27,0.275,0.333,0.391,0.414,0.433,0.49343937232525
2002,0.14,0.183,0.211,0.243,0.281,0.312,0.366,0.319,0.571,0.536353591160221
2003,0.136,0.182,0.214,0.256,0.273,0.317,0.34,0.344,0.503,0.430541019955654
2004,0.127,0.18,0.209,0.252,0.263,0.284,0.378,0.367,0.327,0.424557840616967
2005,0.172,0.185,0.207,0.243,0.241,0.282,0.265,0.377,0.318,0.400571428571429
2006,0.156,0.19,0.22,0.263,0.291,0.322,0.293,0.358,0.397,0.396218806509946
2007,0.154,0.18,0.205,0.237,0.253,0.273,0.295,0.299,0.281,0.326439926062847
2008,0.15,0.181,0.223,0.24,0.265,0.324,0.314,0.297,0.307,0.417477124183007
2009,0.138,0.185,0.202,0.256,0.275,0.278,0.325,0.334,0.303,0.397875
2010,0.163,0.181,0.22,0.236,0.273,0.308,0.283,0.311,0.361,0.380679710144928
2011,0.152,0.162,0.194,0.233,0.242,0.274,0.272,0.293,0.335,0.346950326797386
2012,0.095,0.169,0.185,0.233,0.256,0.234,0.27,0.26,0.283,0.269
2013,0.125,0.169,0.185,0.224,0.253,0.266,0.297,0.278,0.309,0.466
2014,0.155,0.191,0.212,0.228,0.263,0.273,0.249,0.279,0.319,0.351
2015,0.145,0.169,0.205,0.24,0.263,0.274,0.304,0.293,0.33,0.319343119266055
2016,0.143,0.175,0.2,0.236,0.265,0.275,0.273,0.294,0.325,0.303882903981265
2017,0.109,0.168,0.19,0.226,0.276,0.274,0.313,0.309,0.28,0.350020080321285
2018,0.123,0.165,0.198,0.233,0.256,0.263,0.242,0.258,0.268,0.275678899082569
2019,0.14298,0.16181,0.18383,0.21978,0.23028,0.22276,0.24501,0.2274,0.20672,0.3142
2020,0.14658,0.15739,0.184,0.21138,0.2365,0.23762,0.20868,0.23752,0.21662,0.20854
2021,0.13273,0.16495,0.18207,0.20523,0.23773,0.2528,0.26705,0.24107,0.21791,0.35385
