Year,1,2,3,4,5,6,7,8,9,10+
1987,0.05,0.154,0.191,0.262,0.357,0.381,0.406,0.454,0.332,0.619714492753623
1988,0.05,0.133,0.193,0.26,0.335,0.409,0.417,0.474,0.486,0.654328075709779
1989,0.05,0.133,0.195,0.29,0.35,0.34,0.411,0.475,0.419,0.594435729847495
1990,0.05,0.148,0.203,0.294,0.357,0.447,0.399,0.494,0.481,0.65278733572282
1991,0.05,0.139,0.184,0.254,0.301,0.413,0.447,0.522,0.548,0.573442164179105
1992,0.05,0.156,0.194,0.257,0.307,0.398,0.406,0.472,0.5,0.540085984522786
1993,0.05,0.128,0.184,0.229,0.265,0.293,0.344,0.482,0.437,0.583273709483793
1994,0.05,0.143,0.174,0.209,0.257,0.326,0.349,0.402,0.494,0.45894983277592
1995,0.05,0.151,0.179,0.24,0.253,0.321,0.365,0.357,0.545,0.54526015037594
1996,0.05,0.147,0.178,0.208,0.274,0.268,0.321,0.375,0.402,0.546427254098361
1997,0.05,0.15,0.19,0.225,0.252,0.303,0.319,0.325,0.36,0.424019138755981
1998,0.05,0.14,0.173,0.234,0.267,0.281,0.328,0.273,0.336,0.454595465393795
1999,0.05,0.131,0.187,0.216,0.259,0.296,0.34,0.322,0.369,0.463879353233831
2000,0.05,0.139,0.185,0.226,0.264,0.275,0.287,0.337,0.391,0.376302259887006
2001,0.05,0.144,0.185,0.223,0.263,0.319,0.327,0.421,0.41,0.530225392296719
2002,0.05,0.145,0.197,0.245,0.267,0.267,0.299,0.308,0.435,0.435359116022099
2003,0.05,0.146,0.194,0.24,0.256,0.288,0.33,0.312,0.509,0.469727272727273
2004,0.05,0.137,0.195,0.24,0.245,0.305,0.316,0.448,0.356,0.601375321336761
2005,0.05,0.15,0.189,0.234,0.237,0.258,0.276,0.396,0.369,0.428632653061225
2006,0.05,0.148,0.197,0.25,0.27,0.319,0.286,0.341,0.409,0.455207956600362
2007,0.05,0.152,0.179,0.216,0.242,0.245,0.275,0.252,0.257,0.364012939001848
2008,0.05,0.154,0.198,0.212,0.239,0.302,0.282,0.231,0.274,0.400444444444444
2009,0.05,0.142,0.185,0.232,0.255,0.279,0.283,0.333,0.302,0.390166666666667
2010,0.05,0.149,0.2,0.23,0.272,0.307,0.336,0.336,0.361,0.410033333333333
2011,0.05,0.141,0.179,0.223,0.261,0.276,0.32,0.36,0.444,0.39081568627451
2012,0.025,0.058,0.144,0.205,0.23,0.209,0.251,0.235,0.334,0.223
2013,0.034,0.068,0.117,0.186,0.254,0.258,0.309,0.241,0.325,0.562
2014,0.022,0.079,0.136,0.188,0.212,0.227,0.228,0.29,0.343,0.603
2015,0.07,0.075,0.142,0.148,0.227,0.244,0.263,0.288,0.37,0.389252747252747
2016,0.01,0.067,0.151,0.186,0.232,0.248,0.236,0.261,0.221,0.280812865497076
2017,0.021,0.074,0.131,0.174,0.231,0.242,0.249,0.217,0.233,0.367383534136546
2018,0.026,0.084,0.146,0.18,0.205,0.237,0.228,0.219,0.26,0.424885321100917
2019,0.02733,0.07248,0.13276,0.15251,0.19103,0.16845,0.17676,0.2236,0.19415,0.24812
2020,0.03888,0.07672,0.14407,0.17398,0.21773,0.21399,0.19739,0.24894,0.17261,0.24352
2021,0.05084,0.08784,0.13748,0.18177,0.20039,0.23101,0.27639,0.17762,0.19863,0.37361
